freq [Hz]	dBv	Phase [deg]
20	76.457893	73.716401
21	76.405447	69.651666
22	77.099275	70.494862
23	77.559583	65.608496
24	77.119977	63.827433
25	76.970605	64.499951
26	77.234468	67.594284
27	77.577377	68.004308
28	77.796696	67.475121
29	77.901794	67.972923
30	78.000666	69.971783
31	78.311632	71.038044
32	78.562809	73.171231
33	79.217621	74.409215
34	79.706039	73.307498
35	79.970419	73.082485
36	80.425442	72.206336
37	80.727935	71.264915
38	81.003274	70.184339
39	81.155121	68.51264
40	81.110544	68.268698
41	81.297416	69.239841
42	81.507787	69.511713
43	81.73619	69.585636
44	81.956643	69.813118
45	82.230573	69.532459
46	82.376259	69.101428
47	82.540169	69.323767
48	82.712385	69.59031
49	82.993426	70.168689
50	83.273484	70.282032
51	83.605543	70.236334
52	83.976566	70.045066
53	84.36274	69.129036
54	84.738699	67.446886
55	84.9319	65.221456
56	85.017436	63.120167
57	84.984304	62.065374
58	84.975074	61.785233
59	85.112004	61.789169
60	85.274163	61.442209
61	85.459761	60.745456
62	85.571059	59.975135
63	85.694898	59.238969
64	85.799043	58.676448
65	85.938743	57.995155
66	86.027752	57.364409
67	86.14014	56.729032
68	86.259774	56.06732
69	86.359315	55.514945
70	86.469775	54.725784
71	86.585381	54.098425
72	86.673737	53.230781
73	86.759199	52.482202
74	86.822712	51.785681
75	86.908609	51.011842
76	86.966	50.476355
77	87.043043	49.65024
78	87.094507	48.956495
79	87.136899	48.271979
80	87.164768	47.666227
81	87.190852	47.127526
82	87.231688	46.885076
83	87.289423	46.396035
84	87.347002	46.00253
85	87.412923	45.50533
86	87.450268	45.041182
87	87.525619	44.622636
88	87.575533	44.185247
89	87.635001	43.618773
90	87.687093	43.203538
91	87.732463	42.74347
92	87.808478	42.444226
93	87.899448	41.988702
94	87.9987	41.274804
95	88.079697	40.377391
96	88.113643	39.402
97	88.116803	38.505461
98	88.098385	37.823196
99	88.068461	37.242787
100	88.064909	36.926465
101	88.044152	36.749764
102	88.091205	36.539691
103	88.162786	36.289741
104	88.222778	35.547731
105	88.236068	34.951497
106	88.252457	34.493426
107	88.292516	33.964337
108	88.318986	33.348445
109	88.329021	32.724251
110	88.345068	32.110841
111	88.34226	31.458057
112	88.317081	30.78707
113	88.315176	30.320543
114	88.272397	29.668661
115	88.244073	29.273425
116	88.214344	28.794641
117	88.159028	28.376496
118	88.102825	28.056335
119	88.040835	28.12879
120	88.024511	28.129377
121	88.03687	28.097685
122	88.033284	28.013983
123	88.048916	27.808732
124	88.056957	27.560919
125	88.043674	27.29214
126	88.023225	27.033432
127	88.007795	26.970555
128	87.995081	26.822078
129	87.97823	26.845348
130	88.002056	26.742328
131	88.004056	26.656154
132	88.006617	26.472488
133	88.005414	26.425803
134	88.015638	26.351234
135	88.013511	26.31925
136	88.03027	26.368939
137	88.049967	26.389135
138	88.091976	26.443927
139	88.145682	26.42816
140	88.202833	26.232257
141	88.262619	25.975731
142	88.30628	25.513896
143	88.320729	25.126922
144	88.32689	24.780513
145	88.341253	24.594637
146	88.355849	24.325058
147	88.40849	24.015148
148	88.414049	23.563202
149	88.416472	23.037566
150	88.389379	22.676214
151	88.368503	22.382273
152	88.325194	22.295171
153	88.295546	22.205327
154	88.287932	22.559177
155	88.329536	22.841011
156	88.442814	22.812269
157	88.509565	22.464776
158	88.56824	22.021734
159	88.614375	21.495554
160	88.65261	20.962958
161	88.668061	20.376969
162	88.670901	19.718857
163	88.658055	19.215438
164	88.652291	18.624356
165	88.604165	18.105703
166	88.56916	17.760987
167	88.543668	17.477154
168	88.508854	17.134482
169	88.480382	16.865394
170	88.459636	16.687253
171	88.433097	16.455229
172	88.425343	16.226692
173	88.417846	15.907185
174	88.387146	15.533423
175	88.351505	15.204507
176	88.29494	14.993111
177	88.259441	14.771541
178	88.200561	14.764164
179	88.170909	14.77767
180	88.156757	14.672507
181	88.133258	14.767251
182	88.140264	14.635783
183	88.128181	14.507328
184	88.123136	14.313024
185	88.122795	14.099444
186	88.098703	13.791558
187	88.061031	13.511704
188	88.025431	13.3016
189	87.981723	13.137263
190	87.915116	13.043304
191	87.881998	13.056579
192	87.840513	13.17895
193	87.819858	13.231267
194	87.806689	13.222588
195	87.781349	13.357118
196	87.791976	13.285493
197	87.783492	13.362242
198	87.786843	13.119159
199	87.786482	12.976007
200	87.748757	12.702133
201	87.7154	12.56744
202	87.672435	12.457755
203	87.623026	12.421378
204	87.588445	12.467954
205	87.562009	12.541626
206	87.532048	12.529651
207	87.503667	12.532633
208	87.484223	12.533094
209	87.437358	12.499408
210	87.399252	12.627068
211	87.364476	12.662764
212	87.32246	12.839354
213	87.280814	12.961156
214	87.248514	13.29725
215	87.213885	13.508486
216	87.193595	13.828938
217	87.166472	14.290779
218	87.165369	14.652395
219	87.167196	15.117458
220	87.201084	15.604762
221	87.243043	15.984285
222	87.312545	16.189908
223	87.370162	16.218287
224	87.398974	16.12083
225	87.416531	15.974879
226	87.411044	16.076628
227	87.410818	16.173112
228	87.42084	16.326129
229	87.442659	16.423638
230	87.444598	16.551525
231	87.440566	16.777865
232	87.455448	17.279542
233	87.528849	17.77436
234	87.645207	18.059389
235	87.77257	17.851084
236	87.854871	17.391791
237	87.886946	16.847483
238	87.895948	16.465133
239	87.882652	16.195338
240	87.889437	16.04431
241	87.876672	15.89974
