freq [Hz]	dBv	Phase [deg]
285	89.157035	5.227882
286	89.156294	4.734571
287	89.13663	4.232614
288	89.096766	3.814243
289	89.041926	3.542793
290	89.000336	3.446495
291	88.978144	3.325728
292	88.959496	3.194873
293	88.942161	3.022351
294	88.92226	2.791448
295	88.887584	2.578802
296	88.84768	2.454133
297	88.813241	2.402059
298	88.781095	2.367358
299	88.75769	2.411967
300	88.753855	2.465714
301	88.753568	2.415931
302	88.765097	2.301683
303	88.763334	2.046446
304	88.739501	1.808774
305	88.712187	1.624578
306	88.677162	1.517041
307	88.653208	1.47895
308	88.6388	1.410619
309	88.619265	1.263193
310	88.594053	1.198319
311	88.576575	1.180631
312	88.575943	1.044401
313	88.561802	0.866636
314	88.536784	0.606134
315	88.493939	0.444945
316	88.453742	0.350489
317	88.414457	0.288341
318	88.37558	0.253331
319	88.340526	0.235873
320	88.305192	0.252621
321	88.275185	0.250319
322	88.242368	0.251891
323	88.210051	0.263947
324	88.176059	0.293927
325	88.141672	0.333
326	88.10493	0.402887
327	88.072504	0.515651
328	88.044749	0.668604
329	88.025815	0.799927
330	88.008457	0.882408
331	87.987332	0.955885
332	87.955296	1.059565
333	87.929068	1.245153
334	87.912681	1.470663
335	87.9046	1.664032
336	87.901143	1.848629
337	87.902138	1.961768
338	87.893285	2.07557
339	87.881707	2.215793
340	87.875732	2.411387
341	87.879977	2.593909
342	87.885423	2.753362
343	87.895427	2.86343
344	87.899347	2.949217
345	87.90048	3.041369
346	87.896403	3.144479
347	87.892848	3.296255
348	87.892238	3.468374
349	87.890028	3.685793
350	87.900993	3.954646
351	87.921862	4.226016
352	87.954123	4.438957
353	87.996837	4.62385
354	88.028575	4.68902
355	88.064111	4.78918
356	88.093646	4.870436
357	88.123564	5.004444
358	88.169361	5.18524
359	88.235175	5.293849
360	88.304167	5.234793
361	88.366604	5.078713
362	88.416437	4.860279
363	88.455487	4.607464
364	88.485808	4.384266
365	88.512492	4.15726
366	88.53449	3.94375
367	88.555656	3.754954
368	88.577706	3.552526
369	88.597847	3.358182
370	88.618017	3.152922
371	88.63605	2.941267
372	88.657575	2.728337
373	88.676078	2.49393
374	88.691636	2.221988
375	88.702526	1.974826
376	88.717146	1.706307
377	88.726668	1.415759
378	88.727834	1.117188
379	88.726562	0.847992
380	88.729006	0.610713
381	88.73219	0.339524
382	88.733371	0.044455
383	88.729845	-0.273792
384	88.718928	-0.593701
385	88.703065	-0.877482
386	88.686214	-1.124535
387	88.672099	-1.363415
388	88.663304	-1.613161
389	88.651424	-1.904399
390	88.632612	-2.216323
391	88.60793	-2.524364
392	88.578016	-2.823347
393	88.541597	-3.084445
394	88.502832	-3.30354
395	88.465214	-3.511
396	88.425716	-3.678819
397	88.383832	-3.817973
398	88.349656	-3.919514
399	88.319167	-4.028317
400	88.290255	-4.162556
401	88.257127	-4.333865
402	88.218978	-4.497605
403	88.173741	-4.621341
404	88.127652	-4.716077
405	88.082753	-4.753389
406	88.042691	-4.794118
407	88.003198	-4.791435
408	87.970348	-4.802448
409	87.938239	-4.850462
410	87.90412	-4.900397
411	87.858906	-4.969973
412	87.812097	-4.95959
413	87.767444	-4.895792
414	87.729866	-4.800569
415	87.696644	-4.724595
416	87.667149	-4.630258
417	87.642222	-4.537461
418	87.615072	-4.488979
419	87.59169	-4.421815
420	87.570536	-4.358803
421	87.545137	-4.323572
422	87.521898	-4.299799
423	87.498524	-4.266826
424	87.471229	-4.27999
425	87.436774	-4.285683
426	87.393743	-4.277492
427	87.34614	-4.182538
428	87.302512	-4.031673
429	87.262581	-3.843376
430	87.227784	-3.628487
431	87.197804	-3.401065
432	87.171071	-3.151256
433	87.150495	-2.892646
434	87.135321	-2.644077
435	87.122581	-2.423052
436	87.109257	-2.197438
437	87.096565	-1.960917
438	87.085394	-1.743076
439	87.07373	-1.512904
440	87.058687	-1.22406
441	87.052068	-0.890388
442	87.057048	-0.533421
443	87.076375	-0.192013
444	87.102591	0.088779
445	87.131708	0.324009
446	87.167487	0.497275
447	87.197077	0.639765
448	87.229873	0.737643
449	87.262887	0.811137
450	87.293642	0.858305
451	87.320981	0.846819
452	87.346902	0.830202
453	87.36821	0.788566
454	87.383932	0.744936
455	87.396975	0.697856
456	87.409202	0.658935
457	87.41622	0.63022
458	87.424467	0.601748
459	87.429994	0.618099
460	87.443047	0.632185
461	87.458795	0.622279
462	87.472167	0.580123
463	87.484747	0.528084
464	87.498306	0.476583
465	87.508777	0.385647
466	87.513833	0.262289
467	87.514734	0.161124
468	87.504135	0.073485
469	87.496276	0.048214
470	87.487232	0.053909
471	87.484603	0.114828
472	87.48982	0.169775
473	87.502814	0.203061
474	87.519121	0.181049
475	87.532022	0.120927
476	87.540137	0.039369
477	87.546245	-0.050033
478	87.548819	-0.121631
479	87.553943	-0.199305
480	87.555051	-0.285887
481	87.558934	-0.373012
482	87.558644	-0.509771
483	87.55207	-0.609664
484	87.538709	-0.705568
485	87.530184	-0.739342
486	87.524677	-0.770365
487	87.523036	-0.819947
488	87.516443	-0.89825
489	87.510745	-0.962688
490	87.501151	-1.01945
491	87.490594	-1.09568
492	87.479907	-1.119789
493	87.472601	-1.161275
494	87.460084	-1.218453
495	87.450796	-1.269457
496	87.434966	-1.329544
497	87.416747	-1.334237
498	87.397374	-1.358207
499	87.376851	-1.304572
500	87.363954	-1.231003
501	87.355476	-1.141548
502	87.352106	-1.060287
503	87.354082	-1.008076
504	87.358349	-0.95931
505	87.368019	-0.946169
506	87.373806	-0.992128
507	87.378246	-1.075376
508	87.375071	-1.1548
509	87.366928	-1.26789
510	87.350577	-1.348767
511	87.329628	-1.392519
512	87.31075	-1.403634
513	87.290544	-1.389184
514	87.271824	-1.351909
515	87.254335	-1.299197
516	87.24011	-1.223458
517	87.230248	-1.145002
518	87.216106	-1.085797
519	87.209316	-0.985177
520	87.199651	-0.888574
521	87.196917	-0.804538
522	87.192132	-0.716225
523	87.18803	-0.623794
524	87.186015	-0.493273
525	87.194222	-0.400836
526	87.199854	-0.320395
527	87.207185	-0.255693
528	87.21585	-0.210143
529	87.221587	-0.17419
530	87.227985	-0.143274
531	87.232539	-0.086917
532	87.242119	-0.058901
533	87.250981	-0.022094
534	87.260544	-0.007475
535	87.267322	-0.001194
536	87.278133	0.020234
537	87.285691	0.020165
538	87.294117	0.029113
539	87.310152	0.039704
540	87.31904	0.000404
541	87.33286	-0.041159
542	87.342217	-0.098097
543	87.35198	-0.165198
544	87.357171	-0.247445
545	87.362234	-0.346215
546	87.358346	-0.402303
547	87.360864	-0.421455
548	87.369601	-0.474746
549	87.378732	-0.547298
550	87.380548	-0.666968
551	87.380906	-0.764298
552	87.378585	-0.847643
553	87.377927	-0.91396
554	87.382298	-1.009354
555	87.382424	-1.160352
556	87.374396	-1.294568
557	87.361779	-1.424859
558	87.347307	-1.533168
