   freq [Hz]          Ohm  Phase [deg]
  207.000000     4.795409    -0.461392
  208.000000     4.797079    -0.333460
  209.000000     4.799138    -0.204670
  210.000000     4.801487    -0.076179
  211.000000     4.803990     0.051512
  212.000000     4.806961     0.182655
  213.000000     4.810711     0.307863
  214.000000     4.814560     0.424787
  215.000000     4.818102     0.537067
  216.000000     4.822030     0.651646
  217.000000     4.826054     0.756282
  218.000000     4.829947     0.861012
  219.000000     4.834228     0.954776
  220.000000     4.838128     1.047273
  221.000000     4.841774     1.126992
  222.000000     4.844317     1.200744
  223.000000     4.845870     1.281499
  224.000000     4.847104     1.374821
  225.000000     4.848349     1.473170
  226.000000     4.850633     1.578563
  227.000000     4.853721     1.677583
  228.000000     4.856151     1.772640
  229.000000     4.859115     1.862857
  230.000000     4.861819     1.958392
  231.000000     4.865101     2.045663
  232.000000     4.868851     2.124684
  233.000000     4.871554     2.187488
  234.000000     4.872673     2.245065
  235.000000     4.872269     2.313712
  236.000000     4.871398     2.402391
  237.000000     4.871176     2.506494
  238.000000     4.871855     2.612920
  239.000000     4.873211     2.721599
  240.000000     4.875256     2.827731
  241.000000     4.877240     2.925935
  242.000000     4.879231     3.027300
  243.000000     4.881110     3.128699
  244.000000     4.883644     3.232083
  245.000000     4.886532     3.333776
  246.000000     4.889346     3.430971
  247.000000     4.892741     3.527963
  248.000000     4.896300     3.619776
  249.000000     4.899741     3.702827
  250.000000     4.903250     3.785717
  251.000000     4.906396     3.867633
  252.000000     4.909866     3.936167
  253.000000     4.912495     4.007939
  254.000000     4.914498     4.074507
  255.000000     4.916396     4.150875
  256.000000     4.918064     4.221129
  257.000000     4.919600     4.297284
  258.000000     4.920516     4.377029
  259.000000     4.921945     4.461463
  260.000000     4.923568     4.549969
  261.000000     4.925548     4.636581
  262.000000     4.927646     4.720173
  263.000000     4.929524     4.805760
  264.000000     4.931666     4.890520
  265.000000     4.933749     4.975350
  266.000000     4.935938     5.060989
  267.000000     4.937903     5.146941
  268.000000     4.940291     5.235068
  269.000000     4.942697     5.329901
  270.000000     4.946349     5.417526
  271.000000     4.949863     5.497110
  272.000000     4.952949     5.573411
