freq [Hz]	dBv	Phase [deg]
20	75.897432	62.466973
21	76.180233	65.405833
22	76.648416	63.76797
23	77.043945	62.255791
24	77.110099	59.522581
25	76.662786	61.693277
26	77.227482	65.796547
27	77.748826	66.351375
28	78.222947	65.71218
29	78.280835	65.742037
30	78.604974	66.933931
31	78.893809	66.948349
32	79.167032	68.865968
33	79.616405	68.265356
34	79.895562	68.397379
35	80.142899	68.878751
36	80.564975	68.681062
37	80.75584	68.249112
38	81.051448	68.009394
39	81.239568	67.527485
40	81.390947	67.570966
41	81.603838	68.007063
42	81.868991	68.207033
43	82.153519	68.196081
44	82.406977	68.147561
45	82.692723	67.829288
46	82.944494	67.400901
47	83.161104	67.039579
48	83.360565	66.518599
49	83.537823	66.625294
50	83.809623	66.356905
51	83.997083	66.14195
52	84.302867	66.066507
53	84.552387	65.059092
54	84.820425	64.265847
55	84.961662	62.939341
56	85.10874	61.962944
57	85.186789	61.349434
58	85.303219	60.972516
59	85.464793	60.74974
60	85.663662	60.442839
61	85.867946	59.658335
62	86.033599	58.773275
63	86.164066	57.920332
64	86.273764	57.205661
65	86.394253	56.489862
66	86.498763	55.918216
67	86.620686	55.35341
68	86.751801	54.687057
69	86.868589	53.942386
70	86.968227	53.236505
71	87.077984	52.559176
72	87.177819	51.758181
73	87.260203	51.003315
74	87.336907	50.300775
75	87.411101	49.621604
76	87.476448	48.975359
77	87.556571	48.369408
78	87.62287	47.694447
79	87.687309	47.030996
80	87.735886	46.3735
81	87.77127	45.847581
82	87.821468	45.445514
83	87.888383	45.081692
84	87.970835	44.62655
85	88.049332	44.044163
86	88.111658	43.41328
87	88.164981	42.900218
88	88.224906	42.348819
89	88.278144	41.817892
90	88.332853	41.368432
91	88.40382	40.894591
92	88.481318	40.373885
93	88.568293	39.760852
94	88.654072	38.943415
95	88.706732	38.005421
96	88.731435	37.067479
97	88.723967	36.225667
98	88.70315	35.597025
99	88.693828	35.191082
100	88.677072	34.822878
101	88.719294	34.615769
102	88.766402	34.279106
103	88.826672	33.699276
104	88.868167	33.004665
105	88.878011	32.294435
106	88.885602	31.722382
107	88.896135	31.171552
108	88.902268	30.570469
109	88.904322	30.021354
110	88.903268	29.487165
111	88.900142	28.950699
112	88.893816	28.429606
113	88.889207	27.932961
114	88.881949	27.390413
115	88.86212	26.803758
116	88.826166	26.215323
117	88.755003	25.757921
118	88.680156	25.597341
119	88.633708	25.670901
120	88.626059	25.868997
121	88.659252	25.844173
122	88.697547	25.711451
123	88.737772	25.404724
124	88.766644	24.989128
125	88.783227	24.51126
126	88.786188	24.010382
127	88.774274	23.486522
128	88.745944	23.022712
129	88.706329	22.634497
130	88.665157	22.341834
131	88.623884	22.117577
132	88.585503	21.935232
133	88.545637	21.816758
134	88.509379	21.743857
135	88.476762	21.766885
136	88.452271	21.839367
137	88.448544	21.965984
138	88.459775	22.096907
139	88.490678	22.123212
140	88.525697	22.013191
141	88.551416	21.812511
142	88.565836	21.594732
143	88.569846	21.376475
144	88.57715	21.252471
145	88.593166	21.131562
146	88.624968	20.920757
147	88.648935	20.563219
148	88.648721	20.124847
149	88.630442	19.724933
150	88.593228	19.430237
151	88.555332	19.272291
152	88.520994	19.251723
153	88.477551	19.17547
154	88.490768	19.502115
155	88.490064	19.571996
156	88.540445	19.614413
157	88.57694	19.437995
158	88.602576	19.140936
159	88.619073	19.076411
160	88.638023	18.684648
161	88.654644	18.398223
162	88.655572	18.067094
163	88.648212	17.73687
164	88.635449	17.361417
165	88.608692	17.118837
166	88.577136	16.837141
167	88.548062	16.667744
168	88.514328	16.540757
169	88.482236	16.434525
170	88.462297	16.31285
171	88.426127	16.301049
172	88.407252	16.257454
173	88.393725	16.211791
174	88.367904	16.119198
175	88.33939	16.059982
176	88.299342	16.110781
177	88.272245	16.254194
178	88.257479	16.461898
179	88.256225	16.657528
180	88.279131	16.827532
181	88.302508	16.882243
182	88.326434	16.809163
183	88.339828	16.702795
184	88.347641	16.568828
185	88.341399	16.423528
186	88.325526	16.289227
187	88.308201	16.25554
188	88.282019	16.211163
189	88.255148	16.282009
190	88.227056	16.448228
191	88.220683	16.671536
192	88.221736	16.938208
193	88.243687	17.14089
194	88.263519	17.267082
195	88.284281	17.408612
196	88.312564	17.579844
197	88.357331	17.692141
198	88.409642	17.685445
199	88.450688	17.548967
200	88.476003	17.359637
201	88.492838	17.270847
202	88.506704	17.153613
203	88.522662	17.06922
204	88.538495	16.990186
205	88.557812	16.874148
206	88.568711	16.719147
207	88.572631	16.572959
208	88.57074	16.428347
209	88.55917	16.332936
210	88.5435	16.291211
211	88.528773	16.326734
212	88.513874	16.429121
213	88.509006	16.608989
214	88.516222	16.831043
215	88.537073	17.01945
216	88.557183	17.192516
217	88.582381	17.413469
218	88.619765	17.630237
219	88.664591	17.875974
220	88.731006	18.157937
221	88.835909	18.329828
222	88.956214	18.18464
223	89.054431	17.678738
224	89.103601	17.115809
225	89.113972	16.696757
226	89.135991	16.392191
227	89.151902	16.160711
228	89.173282	15.914798
229	89.196162	15.696475
230	89.210949	15.468641
231	89.229152	15.313783
232	89.257864	15.2416
233	89.314207	15.102251
234	89.382427	14.762105
235	89.434645	14.19737
236	89.454051	13.557607
237	89.443516	12.944028
238	89.414539	12.447088
239	89.376771	12.131833
240	89.351804	11.902177
241	89.337239	11.67383
242	89.324441	11.391589
243	89.292707	11.065531
244	89.247171	10.879238
245	89.207493	10.812361
246	89.179998	10.820176
247	89.158403	10.84711
248	89.152274	10.907171
249	89.153904	10.896171
250	89.146269	10.89871
251	89.147952	10.984237
252	89.176398	11.132319
253	89.22637	11.068069
254	89.268033	10.824949
255	89.291491	10.562976
256	89.30993	10.2627
257	89.319032	9.924514
258	89.318189	9.578977
259	89.299003	9.282983
